"organization","platform","rating_avg","ratings_count","reviews_count"
"avtolotsman","Yandex Maps","4.6","793","250"
"avtolotsman","Google Maps","4.4","522","54"
"avtolotsman","2GIS","3.2","14","3"
"avtolotsman_deteyling","Yandex Maps","5","31","19"
"avtolotsman_deteyling","2GIS","5","11","11"
"avtolotsman_probeg","Yandex Maps","5","232","127"
"avtolotsman_probeg","2GIS","3.7","4","3"
"changan_avtolotsman","2GIS","0","0","0"
"geely_avtolotsman","Yandex Maps","4.7","113","38"
"kia_avtolotsman","Yandex Maps","4.4","429","116"
"kia_avtolotsman","2GIS","2.6","28","21"
"liven_avtolotsman","Yandex Maps","4.3","19","4"
"liven_avtolotsman","2GIS","0","0","0"
"mazda_avtolotsman","Yandex Maps","4.7","463","117"
"mazda_avtolotsman","2GIS","4.2","25","21"
"moskvich_avtolotsman","Yandex Maps","4.7","68","28"
"moskvich_avtolotsman","2GIS","3","2","2"
"shkoda_avtolotsman","2GIS","3","2","2"
